OrgNo;Navn;AntallAnsatte;Naeringskode;Organisasjonsform;brregNavn
813288842;MARVIN HANSEN EIENDOM AS;5;43.120;AS;
813297442;TRØNDERHOPP AKTIVITET AS;2;68.209;AS;
813302152;ARB INVEST AS;1;45.111;AS;
813307782;JKG MUR AS;0;;AS;
813307952;LANDSTIL AS;0;;AS;
813308312;GORSETGRENDA VEILAG OG HYTTEFORENING SA;0;68.320;SA;
813317052;METRO SØR AS;22;56.101;AS;
813322072;FAIRYTALE PRODUCTION AS;5;59.110;AS;WAAG PRODUKSJONER AS
813326132;ISSO RENHOLD AL-MASRI;0;;ENK;
813337592;Moderne Bygg 1 AS;0;41.109;AS;
813355442;VESTVÅGØY TAXI AS;0;52.211;AS;
813369702;HILUX AS;4;90.020;AS;
813397552;Fruktgården AS;31;01.240;AS;
813424282;DENARIUS RINGSRUD;0;82.990;ENK;
813452642;FOTOGRAF MATS JENSAAS AS;4;74.200;AS;
813459272;TRETEKNIKK ØSTFOLD AS;8;41.200;AS;
813463202;SORTLAND MAT & VINHUS AS;0;56.101;AS;
813536412;VEKO MASKIN AS;2;43.120;AS;
813544342;OSLAND AS;1;43.110;AS;
813550172;ZENARIO AS;0;59.110;AS;
813560852;PMB EIENDOM AS;0;68.209;AS;NCG EIENDOM AS
813561212;FORNEBU BUTIKKDRIFT AS;0;47.593;AS;
813564572;ANALYSYS MASON AS;20;70.220;AS;
813587882;Löwenstein Tømrer AS;3;41.200;AS;
813587912;Fusa Lyd & Lys AS;6;90.020;AS;
813598132;UNSTAD ARCTIC SURF AS;41;55.101;AS;
813622882;Steigen Boligutleie AS;0;68.209;AS;
813666782;CONFURA AS;1;71.129;AS;
813672812;PRATERIET SPRÅKSENTER AS;5;86.909;AS;PRATERIET LOGOPEDSENTER AS
813694832;HENRIKSEN BYGG AS;12;41.200;AS;
813709252;Boligmesteren Prosjekt AS;0;41.109;AS;
813771462;BYGGMESTERAN HOLDING AS;0;68.209;AS;
813798832;RINGVEIEN 5 AS;0;68.209;AS;
813837692;TYTLANDSVIK AQUA AS;36;03.212;AS;
813841592;Leirvik Sveis A/S;0;68.209;AS;
813842122;THAMS EIENDOMSUTVIKLING AS;0;41.109;AS;
813855372;Tsrevisjon AS;11;69.202;AS;
813873052;Stiftelsen Kåkå Kverulantkatedralen;5;90.040;STI;
813874792;OK Transport & Maskin AS;0;49.410;AS;
813933632;ROGALAND DRIFTSSERVICE AS;10;81.101;AS;
813968282;BETA ORGANISASJONSUTVIKLING LINN RASCH AUNE;0;70.220;ENK;
813968592;TRAA BYGG as;7;41.200;AS;
813973472;ANDREAS WAAG MARTINSEN;0;62.020;ENK;
813984792;ORDINEM SIA;0;38.110;NUF;
813999722;STIG PEDER JOHANSEN AS;1;41.200;AS;
814059472;ARCTIC HOST AS;0;;AS;
814068072;SAMEIET SOLSIDEN;0;;ESEK;
814073432;MR LOKALMATSENTER AS;0;;AS;
814077292;ANSI HOLDING AS;0;41.200;AS;
814078752;Lokalveien Utvikling AS;0;41.109;AS;
814082822;KRO HOLDING AS;0;43.221;AS;
814084272;ELVIS ELEKTRO AS;14;43.210;AS;
814084922;TROND OLSEN MUR & FLIS AS;1;43.990;AS;
814125432;HAUGESTAD AS;0;00.000;AS;
814133842;PRIMA ENERGI AUST-AGDER AS;0;;AS;
814138712;G&A Air AS;0;51.100;AS;
814184072;INDUNOR AS;82;43.320;AS;
814213242;FISKUM NÆRINGSPARK AS;0;41.109;AS;FISKUMPARKEN AS
814225992;NORSK RUTEBILSTASJON AS;0;68.209;AS;
814232662;DF RENTAL AS;6;09.109;AS;
814266222;SIV. ING. STENER SØRENSEN AS;34;71.121;AS;
814266532;GOKSØYR & MARTENS;3;90.012;STI;
814286592;BJØRNEVIK TRANSPORT AS;1;33.120;AS;BJØRNEVIK SERVICE AS
814308782;ZAKS FRISØR AS;3;96.020;AS;
814311422;JM RENTAL AS;0;;AS;
814321002;STERKT DESIGN AS;1;62.020;AS;
814324982;STADIONPARKEN BOLIG AS;0;68.209;AS;TORVET AS
814340872;B&T LOGISTIKK AS;22;49.410;AS;
814350932;ARCTIC SWAN AS;6;03.111;AS;
814351432;Mobekk Invest AS;1;68.209;AS;
814366162;HELGELAND OPPDRETTSERVICE AS;14;03.213;AS;KVARØY OPPDRETTSERVICE AS
814368742;BOTNANS KAFÈ OG CATRING;0;56.101;ENK;
814379892;INNOVATION LAB NORGE AS;0;62.020;AS;
814391132;Lator Skiltfabrikk AS;3;25.990;AS;
814398862;JUJO INVEST AS;0;00.000;AS;
814419762;BLOMSTERBAKKEN 2 II AS;0;00.000;AS;
814424812;GODBITEN SZABELSKA;0;81.210;ENK;
814467902;HOUSE OF HAIR AS;7;96.020;AS;
814484602;RØYRMYRA VINDPARK AS;0;35.112;AS;
814499022;PEPCALL AS;0;61.900;AS;XPLORA MOBILE AS
814500632;GAMLE FREDRIKSTAD HÅNDBALLKLUBB;0;93.120;FLI;
814530922;Sameiet Krags vei 10;0;;ESEK;
814531082;AVANT;0;94.991;FLI;
814537102;Accon Group AS;3;46.769;AS;
814568342;DIEM AS;0;;AS;
814572862;THF AS;0;41.109;AS;
814573982;Trogi AS;0;71.121;AS;
814605752;VARANGER SPORTSLAGER AS;7;47.641;AS;
814609952;Son Kiropraktikk & Helse AS;0;86.909;AS;SON KIROPRAKTIKK OG HELSE AS
814633462;HS INVEST AS;0;68.209;AS;
814721132;KONGENS GATE 26 AS;0;68.209;AS;
814732142;BRANDSHAUGS GARAGE RAYMOND BRANDSHAUG;0;45.200;ENK;
814737772;VEKSTHUSET EIENDOM AS;0;68.209;AS;
814767302;JGG AS;1;68.209;AS;
814779912;NT REFECTIO X AS;0;82.990;AS;
814780082;UTTIAN FISK AS;0;;AS;
814787362;KARSTENSENS AS;1;74.101;AS;
814800202;AKNATON AS;0;41.109;AS;
814835022;DYRUD MASKIN OG UTEMILJØ AS;12;43.120;AS;
814837882;POG TRADING AS;0;71.129;AS;
814849732;Bakermesteren Elverum AS;0;;AS;
814867072;KARLSEN BYGG;1;41.200;ENK;
814869342;GULVSYSTEM NORD-NORGE AS;0;43.330;AS;
814880702;Løvlie Hytteservice;0;43.919;ENK;
814881962;PRYD AV CAPELLI AS;6;96.020;AS;
814905632;ASKE BRYGGERI AS;11;11.050;AS;
814906442;BJØRN WILLY STENSENS TAXI;0;;ENK;
814910652;ARCTIC ELEKTRO AS;18;43.210;AS;
814924122;Lyder Fiskebåt AS;0;03.111;AS;
814934942;EATS 3 AS;0;68.209;AS;
814938352;Skomakergarden AS;0;79.120;AS;
814950662;INTERLOCK AS;0;71.129;AS;
814973492;Br Byggservice AS;0;;AS;
815001052;KOKSTAD TANNLEGEPRAKSIS AS;2;86.230;AS;
815008022;N33 Bolig AS;0;68.100;AS;
815043782;INPROG AS;4;62.010;AS;
815049942;KONSULENT1WISMAR HENRIK WISMAR;0;86.904;ENK;
815062582;CREATIVE MILL AS;16;73.110;AS;
815070542;DIN BUSSTUR AS;7;49.392;AS;
815101812;RØRLEGGER RUNE FLEM AS;1;43.221;AS;
815101952;NT REFECTIO XII AS;0;82.990;AS;
815105222;SWANTECH AS;47;46.694;AS;AVA OF NORWAY AS
815143272;STIAN STEFFENSEN AS;1;74.901;AS;
815161742;MATRIX ADVOKATER AS;12;69.100;AS;
815162692;LEMONWAX AS;11;45.200;AS;
815177762;START&DYNAMO OG BILELEKTRO AS;2;45.200;AS;
815179722;MEDIA DIGITAL AS;0;;AS;
815180542;ISOENERGI NORDLAND AS;4;41.200;AS;ISOBYGG NORDLAND AS
815237242;Blikkenslager Fahlstrøm & Magnussen AS;6;43.911;AS;
815244672;Scandinavian Reach Technologies AS;30;62.010;AS;
815247922;BALKONGSENTERET AS;3;47.529;AS;
815265262;ÅSTORP GÅRD ANS;0;68.209;ANS;
815269772;Business Administration Services AS;14;69.201;AS;
815274032;Fagerlia Hytteforening;0;68.320;FLI;
815279352;JORUNN PETERSEN;0;;ENK;
815286952;RAMONA SKOSALON AS;0;;AS;
815293622;ING. ROBIN SVENDSEN AS;1;43.210;AS;
815295242;ARXX THERAPEUTICS AS;4;21.200;AS;
815330412;ROGALAND SPORT AS;0;;AS;
815332342;Vestmar Service AS;0;81.101;AS;
815346572;FAZENDA UTVIKLING AS;4;68.209;AS;
815357892;Mac & Tusj AS;5;74.102;AS;RIKTIG SPOR MO I RANA AS
815359062;NORSK BYGNINGSRÅDGIVNING AS;0;71.121;AS;
815389182;T RIISE AS;6;47.710;AS;
815412982;Glassproffen AS;7;43.342;AS;
815420152;MARQUEE AS;0;59.200;AS;
815429532;SENTRUMSPASSASJEN AS;0;68.209;AS;
815431332;LØVLAND EIENDOM AS;0;68.209;AS;
815438612;SKULLERUD CONSULTING AS;1;74.903;AS;
815442962;ØYVIND OSNES-RINGEN AS;8;86.221;AS;
815450132;MEDIER24 AS;15;58.130;AS;
815488482;HALLINGSKARVET EIENDOM AS;0;68.209;AS;
815489322;Trudes Hudpleie AS;5;96.020;AS;
815497732;HAVN INVEST AS;0;68.100;AS;EVJA PROPERTY AS
815498062;AURORA MUSIC AS;3;90.011;AS;
815513932;ØYSKIPET AS;0;03.111;AS;
815540662;JÆRKOKKEN AS;9;56.101;AS;
815547322;BELLA CAMPING AS;0;56.101;AS;
815580672;Startmicrohousing AS;0;74.103;AS;
815585232;Annex Consulting AS;3;68.310;AS;
815592972;SEMAK AS;2;74.101;AS;
815603702;JB ANLEGGSSERVICE AS;11;43.120;AS;
815607732;NOORTH AS;0;77.210;AS;
815609522;LINDELID AS;6;41.200;AS;LINDELID & KNUTSEN AS
815612892;PRESTESTIEN TANNLEGEPRAKSIS AS;7;86.230;AS;
815623932;Ah Takstservice AS;0;68.310;AS;
815649842;Svanelv Maskin AS;0;43.120;AS;
815671392;HDR AS;0;68.209;AS;
815672852;HV VII INVEST JULIET II AS;0;09.109;AS;HAV ENERGY HOLDING AS
815686322;HQ SERVICES AS;0;93.130;AS;
815687922;Vedterminalen Gunnar Hyllnes;0;47.990;ENK;
815714512;CARDINOR AS;6;71.129;AS;
815719972;SIVILØKONOM JOHAN MATHIS SOMBY;0;01.490;ENK;
815784332;VVD EXPERIENCE LARS OVEN PETTERSEN;0;85.510;ENK;
815793382;Speidernes beredskapsgruppe Sør-Vest;0;94.991;FLI;
815797132;Drift Snph AS;0;55.101;AS;
815799372;NORMARINE ENGINEERING AS;1;71.129;AS;
815818652;MØRENOT ROBOTICS AS;13;28.990;AS;TROLL SYSTEMS AS
815822102;TELLUS TRADING AS;0;73.110;AS;
815835662;DIN KONFERANSEPARTNER AS;3;70.220;AS;
815845382;Tenderhågen Eiendom AS;0;;AS;
815847822;PURGATO SERVICE AS;28;81.210;AS;HELT RENT TJENESTER AS
815863372;PRESS PLAY PRODUCTIONS AS;1;59.110;AS;TAGLIANO & CO AS
815879732;N. GRØNSETH AS;5;77.110;AS;
815895142;NORDYNAMIC AS;0;33.120;AS;
815896122;BULINSKI ENGINEERING;0;;ENK;
815903862;Skarnes Farvehandel Knut Ivar Brinck;0;47.523;ENK;
815938542;LISA FLATTUM;0;;ENK;
815965302;Tjenna Barnehage AS;32;88.911;AS;
816007372;Sameiet Kjempeholen 1 Og 3;0;97.000;ESEK;
816014492;BERGEN KRISTNE BOKHANDEL AS;3;47.610;AS;
816026172;MONKSIDE AS;0;68.209;AS;
816034272;Vitartak AS;5;43.919;AS;
816034612;IRIS REGNSKAP AS;1;69.201;AS;
816037522;KLEVEN BYGG HOLDING AS;0;41.200;AS;
816039142;STIAN SKJELBRED AS;0;62.010;AS;
816069122;Vålerenga Stadion AS;0;68.320;AS;
816073502;iProsess AS;2;70.220;AS;
816107172;Hvarnes Eiendom AS;5;43.120;AS;SKOKLEMOEN AS
816114462;FJORD & FJELL HOTEL ULVIK AS;0;41.109;AS;
816142032;JAMES STRONG AS;0;68.209;AS;
816148812;CREATOR MAKERSPACE AS;2;72.190;AS;
816161282;BRØDRENE EK EIENDOM AS;1;68.209;AS;
816163072;BØLJAN BLÅ AS;0;41.200;AS;
816166012;Austevikvegen 10 AS;0;68.320;AS;
816195292;HNP INFRA 2 AS;0;42.110;AS;
816195322;HNP 4 AS;0;68.209;AS;
816198992;STORE O AS;2;74.102;AS;
816214882;ELVEPARKEN EIENDOM AS;0;41.109;AS;
816222362;Studio 10;0;70.220;AS;
816235502;INDUSTRISTÅL AS;2;46.720;AS;
816273242;BÅRSTUA AS;7;56.101;AS;TROMSØ SOSIALE ENTREPRENØRSKAP AS
816277752;BENT-ÅGE LUND RUSTAD;0;;ENK;
816298512;H5 NORGE AS;2;62.010;AS;
816309972;SJØHOLMEN AS;24;56.101;AS;SJØHOLMEN KULTURHUS AS
816315492;GUTTORMSEN BEMANNING OG UTLEIE AS;20;49.410;AS;GUTTORMSEN AS
816324882;REKA NAGY NEGLEDESIGN;0;96.020;ENK;
816340012;Ll Eiendom Harstad AS;0;68.209;AS;
816340152;TØMRERMESTER EIRIK AMUNDSEN AS;2;41.200;AS;
816343372;JARNES.NO AS;0;;AS;
816349982;BERKON AS;5;41.200;AS;
816360552;VALLE EIE AS;0;69.201;AS;
816480922;CLEAR INK AS;0;86.909;AS;
816492882;DONKEYBOY MUSIC GROUP AS;0;59.200;AS;
816494532;DALSMARKEN;0;82.300;FLI;
816496012;OLSRUDSKAUEN 10-12 AS;0;41.109;AS;
816499372;ROKO REKKVERK AS;1;46.739;AS;
816504562;ENVIRO AS;0;;AS;
816505682;HFB Lofoten AS;0;68.209;AS;
816508762;UTLEIETELT.NO AS;5;77.210;AS;
816516552;Båtsfjord Fiskedelikatesser AS;0;;AS;
816535042;VEGARD HARM;0;90.012;ENK;
816559812;JAIME COELHO ART AND DESIGN;0;96.090;ENK;
816561752;GUNNA AS;0;74.200;AS;THORIR.PHOTO AS
816572932;HØGEBAKKEN EIENDOM AS;0;68.209;AS;
816632102;TEAM SERVICE J. OLSEN AS;1;62.020;AS;
816636582;SC Agency AS;0;46.160;AS;
816640652;OLJE INVEST AS;0;71.129;AS;
816655552;GLOEN KB INVEST AS;0;68.100;AS;
816666392;Credeva Development AS;0;68.209;AS;
816667232;NORGES REALFAGSGYMNAS UNGDOMSSKOLE BÆRUM AS;31;85.201;AS;NORGES REALFAGSUNGDOMSSKOLE SANDVIKA AS
816668522;Slomarka 57 AS;0;68.209;AS;
816680042;DITT BYGG SALTEN AS;0;;AS;
816683262;OTERHALS INVEST AS;0;68.100;AS;
816690102;Teveldal Turistgård AS;11;55.202;AS;
816718082;SUPERMANZANA AS;0;68.100;AS;
816729432;ENGINEER.IT AS;0;62.010;AS;
816765552;TK BETONG OG GRUNN AS;0;00.000;AS;
816791642;Heilt På Jordet Anders Kvalø Pettersen;0;68.209;ENK;
816796822;OSLO GULVLEGGERSERVICE AS;5;43.330;AS;
816809932;ANTI AS;73;74.102;AS;
816827922;R HANSEN AS;1;77.320;AS;
816838002;BR-VANEBO HOLDING AS;0;46.694;AS;
816841542;JÆREN SKOGLAG AS;1;02.100;AS;
816881412;WICKNEGÅRDEN INVEST AS;0;68.100;AS;
816898692;Sport Outlet Geilo 29 AS;6;47.641;AS;
816898862;Sport Outlet Fauske 27 AS;7;47.641;AS;
816899222;JANSON DA;0;;DA;
816900662;TOTENSVEIS AS;1;41.200;AS;
816946352;NORSUPPLY EIENDOM AS;0;00.000;AS;
816964482;MAWA PLAST AS;1;22.290;AS;
816977622;SIGURD-JOHAN THORHEIM CATERING;0;56.210;ENK;
816996112;GICALA TRANSPORT AS;0;;AS;
817011152;STIFTELSEN OVERSKUDDSFABRIKKEN;0;94.992;STI;
817020372;RABBEN MARINA AS;0;;AS;
817021042;LYNG ILLUSTRATED AS;0;;AS;MARMÆLEN AS
817084532;Sandvikbygg AS;0;43.120;AS;
817089062;MOMENT HOLDING AS;5;68.209;AS;
817093582;TEDD AS;0;00.000;AS;
817101232;WENCHES PRODUKTER AS;0;;AS;
817103022;PROGRESSING MINDS AS;1;70.220;AS;
817104762;RÅSTAD FOODS AS;1;10.860;AS;
817110592;Eik Enter;2;79.903;AS;EIK ENTER AS
817128572;Ainas Kiosk og Helsekost AS;20;47.112;AS;
817149332;NORDBYS SJØBOD;0;55.202;ENK;
817156452;VIPCAR AS;3;77.110;AS;
817181902;BESTEMORS EIENDOM AS;0;;AS;
817188362;TREVERKET MAT & SKAFFERI AS;22;56.101;AS;
817193722;PRIMÆRKONTAKTEN FOR MUSKEL & SKJELETT AS;0;86.909;AS;
817208592;SOR CONSULT AS;0;74.909;AS;
817245552;NORDENA AS;0;;AS;
817263402;NORWEGIAN INSPECTION SERVICE AS;1;71.129;AS;
817270492;Kraft Glass Bømlo AS;0;43.342;AS;
817279872;GOMAP AS;0;;AS;
817309682;RABBEN RESTAURANT AS;0;;AS;
817330622;YXNEY MARITIME AS;12;62.010;AS;
817356052;GLASSMESTER BODØ AS;2;43.342;AS;
817357202;LATEBRO AS;0;62.010;AS;
817364462;HELMER LUNDGREENS GATE 2 AS;0;68.209;AS;
817372902;LANGVIK MASKIN AS;11;43.120;AS;
817381332;NT REFECTIO XVI AS;0;82.990;AS;
817398022;RETAIL SOLUTION AS;0;;AS;
817400612;NESSET DYREKLINIKK AS;1;75.000;AS;DYRLEGEN PÅ NESODDEN AS
817403492;NORMAR TRADING AS;19;33.120;AS;
817404502;TOOLER AS;12;62.010;AS;SHAREFOX AS
817456332;Cloud Investments AS;0;62.020;AS;
817471862;STORGATA PLATEBAR AS;10;56.101;AS;
817472222;STORMHAV AS;0;03.111;AS;
817485812;INVENTRIX AS;0;;AS;SPERA HELSE AS
817492622;MIDAS EIENDOM AS;0;41.109;AS;
817524222;Teoriappen AS;0;85.609;AS;
817539602;5 ZENZES AS;0;96.020;AS;
817548822;MLUNIA AS;0;68.209;AS;
817554822;ALL IN SPORTS AS;0;;AS;
817608582;SUNDVÅGEN KYSTFISKE AS;0;03.111;AS;
817627722;PROJECT NEON AS;7;73.110;AS;
817636012;JTC AUTO AS;3;45.112;AS;
817648452;VONSTETT MEDIA AS;1;90.034;AS;
817649602;SILING INVEST AS;0;;AS;
817650082;2TRE GO AS;0;;AS;
817668992;ART BY LENA ANDERSEN;0;90.031;ENK;
817670032;STOR OSLO VEI OG ANLEGG AS;0;;AS;
817677282;FAUN AS;0;68.100;AS;
817681972;JURO EIENDOM AS;0;68.209;AS;
817687512;LEYER AS;0;74.903;AS;
817693482;SCAN-DIVE AS;1;42.210;AS;
817707742;SIGRUN BEKKEVOLD;0;74.909;ENK;
817708382;PARKETTSLIPEREN NORGE AS;0;;AS;
817719902;HEMJERN AS;0;72.190;AS;
817737382;NITTAYA THAIMAT AS;0;;AS;
817741142;BELLE HOTELLDRIFT AS;0;;AS;
817744362;OPPMUNTRING AS;0;47.990;AS;
817752292;MEIE AS;0;;AS;
817758142;KERMES & SAFFRON AS;0;64.308;AS;
817769152;STOKKE INDUSTRI EIENDOM AS;0;72.190;AS;
817781322;JENS A. LARSEN AAS ILLUSTRATION & DESIGN;0;90.031;ENK;
817798772;HØSTBAKKEN EIENDOMSSERVICE AS;2;81.101;AS;
817815782;Draftit Privacy AS;8;69.100;AS;VISMA DRAFTIT AS
817826202;LOFOTSTRIKK GRO AGNETE BERGLUND;0;47.919;ENK;
817833942;NESTA UTMARK AS;0;64.308;AS;
817860532;MULTISERVICE NORD NORGE AS;0;;AS;
817864872;GLOBAL RENTALS AS;12;46.630;AS;
817866182;STELLA EIENDOM AS;0;68.209;AS;
817873162;Sport Outlet Harstad 31 AS;12;47.641;AS;SPORT OUTLET ALTA 31 AS
817896952;MANGA RISIO ONWUAGHA;0;86.230;ENK;
817902022;4 SMIL AS;0;;AS;
817912532;BALCHENBIL AS;3;45.200;AS;AUTODRIVE AS
817919472;BOMPENGESELSKAP NORD AS;7;84.130;AS;
817922392;SKULLERUD RØR AS;2;43.221;AS;
817927262;HARK TECHNOLOGIES AS;12;46.431;AS;
817932932;Bredbåndservice AS;4;61.100;AS;
817934722;PRESSURA AS;6;71.129;AS;
817950892;HYLKJE NÆRINGSBYGG 12 AS;0;68.209;AS;
817993362;EAPARTNER AS;0;43.210;AS;
817995012;JESSHEIM TRANSPORT AS;1;49.410;AS;
818004842;GROSSISTEN AS;2;93.190;AS;
818021682;KARNE HOLDING AS;0;70.220;AS;
818021992;SÆTHER KYSTFISKE AS;0;;AS;
818032102;SYKEPLEIER JANE BERIT BERG;0;86.909;ENK;
818039662;Trondheim Ølutsalg AS;7;47.259;AS;
818059132;FUCHS KIROPRAKTIKK;0;86.909;ENK;ALFA KIROPRAKTIKK - FREDERIK FUCHS
818065892;SANNE AS;18;86.909;AS;
818095732;CFPH AS;0;88.101;AS;
818097832;SKRANEVEGEN 52 AS;0;41.109;AS;HEI31 AS
818103492;BOD OG BEDRING AS;1;74.103;AS;
818112572;Maison Grabot AS;0;10.710;AS;
818130252;Louises Gårdsdrift AS;0;56.101;AS;
818131062;Wiggo Erichsen Holding AS;0;68.209;AS;
818140932;LCA.NO AS;13;62.010;AS;
818160682;SMUDART CRAFTS WENCHE ANDERSEN;0;96.090;ENK;
818187432;GRATANGEN RØDE KORS;0;94.991;FLI;
818274882;BIRKEBEINERSPELET AS;0;90.020;AS;
818280122;BRISOL LOFOTEN AS;0;;AS;
818284942;KVIA INVESTERING AS;1;45.112;AS;
818286252;Mlunia 2 AS;0;68.209;AS;
818287712;VOLT SERVICE AS;46;03.213;AS;
